id,terme,contexte,exemples
1,OKLM,"Expression utilisée pour dire qu'on est calme, tranquille.",Ex: 'Je suis OKLM ce soir.'
2,Wesh,Forme de salutation ou expression d'étonnement.,"Ex: 'Wesh, ça va ?'"
3,Bae,Terme affectueux pour désigner son partenaire.,Ex: 'Je vais voir bae ce soir.'
4,Téma,Verbe qui signifie regarder.,Ex: 'Téma cette voiture !'
5,Cheh,Expression pour se moquer de quelqu'un après une mésaventure.,"Ex: 'Il est tombé, cheh !'"
6,Boloss,Mot pour désigner quelqu'un de naïf ou faible.,"Ex: 'Il a cru tout ce qu'on lui a dit, quel boloss !'"
7,Miskine,"Expression de compassion, pour désigner quelqu'un à plaindre.","Ex: 'Il a perdu son téléphone, miskine.'"
8,Flemme,Manque de motivation ou d'énergie pour faire quelque chose.,Ex: 'J'ai la flemme de sortir.'
9,Crush,Personne pour laquelle on a un intérêt amoureux.,Ex: 'J'ai un crush sur cette personne.'
10,Blaze,Surnom ou nom.,Ex: 'C'est quoi ton blaze ?'
11,BG,"Abréviation de 'beau gosse', utilisé pour complimenter quelqu'un.",Ex: 'Ce mec est un vrai BG.'
12,TKT,"Abréviation de 't'inquiète', pour rassurer quelqu'un.","Ex: 'TKT, ça va bien se passer.'"
13,Pécho,Verbe qui signifie séduire ou obtenir quelque chose.,Ex: 'Il a pécho sa copine hier.'
14,Charo,Désigne quelqu'un qui drague beaucoup.,Ex: 'Ce mec est un vrai charo.'
15,Clash,"Conflit verbal, dispute.",Ex: 'Ils se sont clashés pendant la soirée.'
16,Kiffer,Aimer quelque chose ou quelqu'un.,Ex: 'Je kiffe trop ce film.'
17,Yolo,"Acronyme de 'You Only Live Once', pour exprimer l'idée de profiter du moment.","Ex: 'Allez, Yolo, on le fait !'"
18,Squatter,Rester dans un endroit ou chez quelqu'un sans forcément être invité.,Ex: 'On squatte chez lui ce soir.'
19,Zarma,Expression pour exprimer le sarcasme ou l'incrédulité.,Ex: 'Zarma t'es sérieux ?'
20,Seum,Sentiment de frustration ou déception.,Ex: 'Il a le seum après avoir perdu.'